magnitude,latitude,longitude,depth,Referencia de localizacion,date_utc,time_utc
4,15.9638,-95.1967,8.9,"24 km al SUR de SALINA CRUZ, OAX",2019-03-27,23:06:25
4,14.2715,-93.6972,10,"156 km al SUROESTE de MAPASTEPEC, CHIS",2019-03-27,23:18:46
4.2,15.8467,-96.3777,48,"15 km al NORESTE de S PEDRO POCHUTLA, OAX",2019-03-28,0:01:55
4.2,16.0598,-97.055,36.3,"22 km al NORTE de PUERTO ESCONDIDO, OAX",2019-03-28,3:15:24
4,15.853,-95.2147,28.2,"36 km al SUR de SALINA CRUZ, OAX",2019-03-28,5:22:23
4,17.131,-95.5548,95.8,"62 km al NOROESTE de MATIAS ROMERO, OAX",2019-03-28,7:35:16
4.3,15.519,-94.939,21.5,"78 km al SURESTE de SALINA CRUZ, OAX",2019-03-28,9:08:36
4.1,15.1955,-94.5727,16.1,"128 km al SURESTE de SALINA CRUZ, OAX",2019-03-28,17:42:58
4.1,15.3228,-94.7427,38.9,"107 km al SURESTE de SALINA CRUZ, OAX",2019-03-28,19:08:55
4.1,16.4823,-94.8012,56.9,"3 km al ESTE de UNION HIDALGO, OAX",2019-03-29,4:53:20
4,16.7582,-99.5233,34.1,"15 km al SUROESTE de SAN MARCOS, GRO",2019-03-29,8:59:18
4,14.3623,-93.7797,16,"153 km al SUROESTE de MAPASTEPEC, CHIS",2019-03-29,10:52:52
4,15.1478,-95.988,12.2,"70 km al SUR de CRUCECITA, OAX",2019-03-29,11:25:56
4,15.4937,-94.7773,33.3,"88 km al SURESTE de SALINA CRUZ, OAX",2019-03-29,12:25:24
4,17.0718,-94.583,133.7,"54 km al NORESTE de MATIAS ROMERO, OAX",2019-03-30,2:24:45
4,14.6915,-92.4118,86.6,"28 km al OESTE de CD HIDALGO, CHIS",2019-03-30,2:42:19
4.4,15.9923,-95.0438,59,"27 km al SURESTE de SALINA CRUZ, OAX",2019-03-30,3:28:24
4,17.0252,-94.3973,135.2,"71 km al ESTE de MATIAS ROMERO, OAX",2019-03-30,3:36:12
4,15.63,-93.9878,30,"56 km al SUROESTE de TONALA, CHIS",2019-03-30,4:43:43
4.3,19.0497,-107.469,10,"291 km al SUROESTE de PUERTO VALLARTA, JAL",2019-03-30,6:54:28
4.1,17.3873,-94.1915,60.1,"59 km al SUR de LAS CHOAPAS, VER",2019-03-30,12:25:30
4,14.9162,-93.6245,19.9,"96 km al SUROESTE de PIJIJIAPAN, CHIS",2019-03-30,18:02:25
4.1,15.1938,-94.3465,16.1,"117 km al SUROESTE de TONALA, CHIS",2019-03-30,19:59:36
4.1,17.0405,-95.2377,113.5,"28 km al NOROESTE de MATIAS ROMERO, OAX",2019-03-31,7:11:29
4.2,14.907,-94.124,15.3,"131 km al SUROESTE de PIJIJIAPAN, CHIS",2019-03-31,10:38:36
4.1,15.7945,-94.5082,38.1,"81 km al SUROESTE de ARRIAGA , CHIS",2019-03-31,16:32:06
4,15.3602,-94.3968,36,"106 km al SUROESTE de TONALA, CHIS",2019-03-31,19:53:27
4,15.3607,-94.7767,46,"101 km al SURESTE de SALINA CRUZ, OAX",2019-03-31,22:07:09
4,15.6477,-94.7918,16.1,"73 km al SURESTE de SALINA CRUZ, OAX",2019-03-31,22:17:45
4.2,16.0633,-95.24,9,"14 km al SUROESTE de SALINA CRUZ, OAX",2019-04-01,0:52:38
4,16.077,-95.2062,8.5,"12 km al SUR de SALINA CRUZ, OAX",2019-04-01,1:46:17
4.7,15.4672,-93.1507,101.3,"25 km al SUR de PIJIJIAPAN, CHIS",2019-04-01,3:36:05
4.1,14.6583,-92.4853,71.3,"36 km al OESTE de CD HIDALGO, CHIS",2019-04-01,6:23:06
4,15.8632,-95.1962,8.3,"35 km al SUR de SALINA CRUZ, OAX",2019-04-01,15:25:43
4,16.005,-95.2425,21.2,"20 km al SUR de SALINA CRUZ, OAX",2019-04-02,0:51:28
4,15.5888,-95.0117,21.7,"69 km al SURESTE de SALINA CRUZ, OAX",2019-04-02,6:19:21
4.4,30.3985,-114.13,6.6,"97 km al SURESTE de SAN FELIPE, BC",2019-04-02,10:04:59
4,14.1558,-94.2012,16.1,"200 km al SUROESTE de PIJIJIAPAN, CHIS",2019-04-03,5:16:46
4,15.4693,-95.0382,34.2,"81 km al SUR de SALINA CRUZ, OAX",2019-04-03,5:37:49
4.1,15.9343,-95.1957,7.5,"27 km al SUR de SALINA CRUZ, OAX",2019-04-03,20:02:55
4.2,16.262,-98.117,11.6,"11 km al SUROESTE de PINOTEPA NACIONAL, OAX",2019-04-03,20:42:02
4.9,15.3445,-94.7625,16.1,"104 km al SURESTE de SALINA CRUZ, OAX",2019-04-04,0:27:54
4.1,15.224,-93.436,69.3,"57 km al SUROESTE de PIJIJIAPAN, CHIS",2019-04-04,3:21:27
4,16.6393,-93.546,172.3,"20 km al SURESTE de CINTALAPA, CHIS",2019-04-04,4:33:41
4.1,17.2058,-101.52,11.3,"45 km al SUROESTE de PETATLAN, GRO",2019-04-04,4:36:30
4,15.5102,-93.5428,78.8,"41 km al SUROESTE de PIJIJIAPAN, CHIS",2019-04-04,11:24:49
4,16.2895,-98.2253,11.7,"19 km al SUROESTE de PINOTEPA NACIONAL, OAX",2019-04-04,13:51:37
4.2,15.5232,-94.9512,22.9,"77 km al SURESTE de SALINA CRUZ, OAX",2019-04-04,15:48:48
4.1,14.5983,-92.6967,28.3,"58 km al SUROESTE de TAPACHULA, CHIS",2019-04-04,22:08:05
4.5,30.5455,-114.496,6,"63 km al SURESTE de SAN FELIPE, BC",2019-04-04,22:43:33
4.3,30.562,-114.442,3.5,"64 km al SURESTE de SAN FELIPE, BC",2019-04-04,22:55:23
4.1,30.6913,-114.073,20.2,"82 km al SURESTE de SAN FELIPE, BC",2019-04-05,4:12:39
4,30.672,-114.115,10,"79 km al SURESTE de SAN FELIPE, BC",2019-04-05,4:17:06
4,19.5162,-106.318,16.4,"166 km al SUROESTE de PUERTO VALLARTA, JAL",2019-04-05,7:09:46
4.1,15.9495,-98.0422,15.9,"43 km al SUR de PINOTEPA NACIONAL, OAX",2019-04-05,9:18:08
4,15.365,-94.738,15.7,"103 km al SURESTE de SALINA CRUZ, OAX",2019-04-05,14:09:35
4,14.206,-92.268,96.3,"54 km al SUR de CD HIDALGO, CHIS",2019-04-05,18:11:09
4.2,16.0747,-94.7263,65.9,"46 km al SUR de UNION HIDALGO, OAX",2019-04-05,19:44:57
4.1,30.7488,-114.173,10,"70 km al SURESTE de SAN FELIPE, BC",2019-04-05,20:37:25
4,30.7155,-114.148,10,"74 km al SURESTE de SAN FELIPE, BC",2019-04-05,20:53:38
4.5,30.7497,-114.166,10,"71 km al SURESTE de SAN FELIPE, BC",2019-04-05,21:31:15
4.2,30.8143,-114.235,10,"62 km al SURESTE de SAN FELIPE, BC",2019-04-05,21:45:27
4.2,30.7898,-114.111,10,"74 km al SURESTE de SAN FELIPE, BC",2019-04-06,0:26:07
4.3,14.9932,-94.4,18.1,"139 km al SUROESTE de TONALA, CHIS",2019-04-06,1:03:06
4.1,16.4745,-99.056,8,"50 km al SURESTE de SAN MARCOS, GRO",2019-04-06,1:23:23
4.1,30.6552,-114.18,10,"75 km al SURESTE de SAN FELIPE, BC",2019-04-06,1:29:33
4,30.8448,-114.29,5,"56 km al SURESTE de SAN FELIPE, BC",2019-04-06,1:37:44
4.1,30.762,-114.22,10,"66 km al SURESTE de SAN FELIPE, BC",2019-04-06,1:43:05
4.1,30.8332,-114.206,10,"64 km al SURESTE de SAN FELIPE, BC",2019-04-06,1:51:12
4,30.7132,-114.23,10,"68 km al SURESTE de SAN FELIPE, BC",2019-04-06,1:54:46
4,30.8003,-114.189,10,"67 km al SURESTE de SAN FELIPE, BC",2019-04-06,2:04:10
4,30.7977,-114.156,10,"70 km al SURESTE de SAN FELIPE, BC",2019-04-06,2:07:46
4,30.7788,-114.175,10,"69 km al SURESTE de SAN FELIPE, BC",2019-04-06,2:30:41
4,30.7392,-114.171,10,"71 km al SURESTE de SAN FELIPE, BC",2019-04-06,2:38:35
4,30.8963,-114.131,10,"69 km al ESTE de SAN FELIPE, BC",2019-04-06,2:48:05
4,14.1948,-93.8077,17.6,"169 km al SUROESTE de MAPASTEPEC, CHIS",2019-04-06,6:35:19
4,30.7708,-114.165,10,"70 km al SURESTE de SAN FELIPE, BC",2019-04-06,8:03:40
4.2,30.8292,-114.111,5.6,"73 km al SURESTE de SAN FELIPE, BC",2019-04-06,8:37:02
4.2,31.3008,-114.077,5,"51 km al OESTE de PUERTO PEÑASCO, SON",2019-04-06,8:45:10
4.3,14.9443,-94.2858,17.3,"138 km al SUROESTE de TONALA, CHIS",2019-04-06,11:23:43
4.2,17.152,-94.943,123.4,"33 km al NORESTE de MATIAS ROMERO, OAX",2019-04-06,15:47:42
4,16.2438,-98.0838,10.4,"11 km al SUROESTE de PINOTEPA NACIONAL, OAX",2019-04-06,18:47:04
4.1,14.4452,-93.1307,15.2,"105 km al SUROESTE de HUIXTLA, CHIS",2019-04-06,19:26:09
4.2,13.6457,-92.8297,24.9,"136 km al SUROESTE de CD HIDALGO, CHIS",2019-04-06,20:44:30
5.1,30.6568,-114.078,5,"83 km al SURESTE de SAN FELIPE, BC",2019-04-06,21:01:41
4.1,17.2195,-94.9628,127.2,"39 km al NORTE de MATIAS ROMERO, OAX",2019-04-06,23:26:43
4,15.504,-94.8963,36,"82 km al SURESTE de SALINA CRUZ, OAX",2019-04-07,0:02:07
4.1,31.1395,-115.213,11.9,"38 km al NOROESTE de SAN FELIPE, BC",2019-04-07,11:11:12
4,31.4143,-114.01,6.8,"46 km al OESTE de PUERTO PEÑASCO, SON",2019-04-07,12:07:24
4.2,30.5878,-114.11,21.1,"85 km al SURESTE de SAN FELIPE, BC",2019-04-07,12:40:11
4.1,14.592,-94.3383,11.7,"171 km al SUROESTE de PIJIJIAPAN, CHIS",2019-04-07,13:03:02
4.5,15.0247,-93.7708,105.9,"95 km al SUROESTE de PIJIJIAPAN, CHIS",2019-04-07,13:17:49
4,30.7015,-114.291,5,"63 km al SURESTE de SAN FELIPE, BC",2019-04-07,13:28:21
4,13.2835,-92.109,10,"154 km al SUR de CD HIDALGO, CHIS",2019-04-07,16:30:54
4.1,16.0155,-97.6723,15.9,"26 km al OESTE de RIO GRANDE, OAX",2019-04-07,19:20:32
4.1,24.9845,-106.842,7.6,"58 km al NORESTE de CULIACAN, SIN",2019-04-07,23:16:05
4,24.8897,-106.836,17,"56 km al ESTE de CULIACAN, SIN",2019-04-07,23:17:47
4.1,13.4467,-92.369,10,"138 km al SUR de CD HIDALGO, CHIS",2019-04-08,4:23:40
4.2,16.4075,-95.2772,5.4,"10 km al NOROESTE de TEHUANTEPEC, OAX",2019-04-08,5:32:33
4,30.3777,-114.207,12.6,"94 km al SURESTE de SAN FELIPE, BC",2019-04-08,5:33:07
4,16.3518,-95.2847,64.4,"6 km al NOROESTE de TEHUANTEPEC, OAX",2019-04-08,6:17:03
4,16.5385,-98.4785,5.3,"18 km al SUROESTE de OMETEPEC, GRO",2019-04-08,16:09:52
4.2,16.5288,-94.6628,96,"19 km al NORESTE de UNION HIDALGO, OAX",2019-04-08,22:24:19
4.1,17.3613,-94.7658,140.6,"61 km al SURESTE de SAYULA DE ALEMAN, VER",2019-04-08,23:00:29
4.1,30.3943,-114.425,14.4,"80 km al SURESTE de SAN FELIPE, BC",2019-04-09,1:00:33
4.1,16.6837,-94.6292,60,"31 km al NORESTE de UNION HIDALGO, OAX",2019-04-09,2:59:29
4.1,15.051,-93.153,71.4,"51 km al SUROESTE de MAPASTEPEC, CHIS",2019-04-09,3:23:56
4,30.6078,-115.318,4.4,"60 km al ESTE de LAZARO CARDENAS, BC",2019-04-09,6:30:37
4.2,16.6103,-100.419,10,"56 km al SUROESTE de COYUCA DE BENITEZ, GRO",2019-04-09,7:26:53
4,16.345,-95.1392,48.1,"9 km al ESTE de S BLAS ATEMPA, OAX",2019-04-09,8:47:57
4.1,15.5127,-94.8055,16.2,"85 km al SURESTE de SALINA CRUZ, OAX",2019-04-09,10:15:07
4,16.5925,-100.352,4.3,"54 km al SUROESTE de COYUCA DE BENITEZ, GRO",2019-04-09,11:24:53
4,29.8435,-114.274,10.1,"142 km al SURESTE de SAN FELIPE, BC",2019-04-09,15:20:17
4.1,16.2732,-98.1075,10.1,"10 km al SUROESTE de PINOTEPA NACIONAL, OAX",2019-04-09,17:02:10
4,14.2432,-93.276,15,"130 km al SUROESTE de CD HIDALGO, CHIS",2019-04-09,20:47:36
4.1,16.7063,-94.5383,109.8,"40 km al NORESTE de UNION HIDALGO, OAX",2019-04-10,2:32:27
4.1,15.9777,-98.0387,12.6,"40 km al SUR de PINOTEPA NACIONAL, OAX",2019-04-10,8:41:18
4.1,14.886,-94.3872,16.1,"149 km al SUROESTE de TONALA, CHIS",2019-04-10,21:55:10
4.1,17.5068,-95.7837,102.4,"64 km al SUROESTE de ISLA, VER",2019-04-11,4:36:30
4.2,14.9648,-92.9972,71.2,"54 km al SUR de MAPASTEPEC, CHIS",2019-04-11,5:41:30
4,15.0532,-94.5243,23,"141 km al SUROESTE de TONALA, CHIS",2019-04-11,10:53:04
4,16.3153,-95.0865,27,"15 km al SUROESTE de JUCHITAN DE ZARAGOZA, OAX",2019-04-11,12:37:38
4.2,16.9268,-94.984,111.9,"9 km al NORESTE de MATIAS ROMERO, OAX",2019-04-11,13:32:38
4.3,15.8257,-95.1257,8.6,"40 km al SUR de SALINA CRUZ, OAX",2019-04-11,21:44:55
4,16.3768,-95.3232,63.4,"11 km al NOROESTE de TEHUANTEPEC, OAX",2019-04-11,23:17:20
4,15.0215,-92.9472,75.8,"47 km al SUR de MAPASTEPEC, CHIS",2019-04-12,6:40:00
4,16.8002,-95.94,29.8,"60 km al SURESTE de TLACOLULA, OAX",2019-04-12,7:11:05
4.1,18.188,-103.503,5,"75 km al SUROESTE de COALCOMAN, MICH",2019-04-12,7:40:18
5,14.3865,-93.2005,15,"115 km al SUROESTE de HUIXTLA, CHIS",2019-04-12,13:31:49
4.2,27.9442,-112.103,5,"69 km al NORTE de SANTA ROSALIA, BCS",2019-04-12,13:37:00
4,15.7527,-93.8233,85.4,"38 km al SUR de TONALA, CHIS",2019-04-12,13:39:40
4.2,27.9305,-112.011,5,"70 km al NORESTE de SANTA ROSALIA, BCS",2019-04-12,13:42:06
4.1,16.3535,-97.8427,5,"22 km al ESTE de PINOTEPA NACIONAL, OAX",2019-04-12,14:09:42
4.2,15.2338,-93.7,67.6,"73 km al SUROESTE de PIJIJIAPAN, CHIS",2019-04-12,23:37:59
4,32.2012,-115.279,5.6,"19 km al SUROESTE de GPE VICTORIA(KM.43), BC",2019-04-13,0:39:16
4,14.1417,-93.265,10,"134 km al SUROESTE de CD HIDALGO, CHIS",2019-04-13,1:35:59
4.2,14.1657,-93.3265,10,"139 km al SUROESTE de CD HIDALGO, CHIS",2019-04-13,1:47:23
4.2,14.1955,-93.344,11.7,"139 km al SUROESTE de CD HIDALGO, CHIS",2019-04-13,1:58:00
4.1,15.4268,-94.912,17,"89 km al SURESTE de SALINA CRUZ, OAX",2019-04-13,3:20:55
4.2,16.3472,-97.9635,30.2,"9 km al ESTE de PINOTEPA NACIONAL, OAX",2019-04-13,3:32:05
4.1,16.3443,-97.9648,30.3,"9 km al ESTE de PINOTEPA NACIONAL, OAX",2019-04-13,4:31:18
4.1,17.7867,-101.883,18.4,"39 km al NOROESTE de ZIHUATANEJO, GRO",2019-04-13,4:53:32
4,17.2563,-94.6963,64.3,"56 km al NORESTE de MATIAS ROMERO, OAX",2019-04-13,5:32:08
4.7,15.092,-94.6088,20.9,"136 km al SURESTE de SALINA CRUZ, OAX",2019-04-13,8:08:23
4.2,17.7593,-101.428,50.9,"18 km al NORESTE de ZIHUATANEJO, GRO",2019-04-13,8:58:57
4.1,17.6398,-94.7777,149.5,"33 km al SURESTE de SAYULA DE ALEMAN, VER",2019-04-13,12:07:35
4,17.4157,-102.547,10,"70 km al SUROESTE de CD LAZARO CARDENAS, MICH",2019-04-13,14:34:58
4.1,15.4488,-94.8862,36.9,"88 km al SURESTE de SALINA CRUZ, OAX",2019-04-13,15:17:36
4.1,14.6885,-92.5898,79.3,"43 km al SUROESTE de TAPACHULA, CHIS",2019-04-13,15:35:23
4,16.1562,-95.2238,86.4,"4 km al SUROESTE de SALINA CRUZ, OAX",2019-04-13,16:21:56
4.5,14.0235,-93.28,9,"142 km al SUROESTE de CD HIDALGO, CHIS",2019-04-14,2:53:10
4.2,14.3627,-93.1503,79.2,"113 km al SUROESTE de HUIXTLA, CHIS",2019-04-14,3:00:42
4.2,14.8057,-93.0328,113.9,"71 km al SUROESTE de HUIXTLA, CHIS",2019-04-14,3:05:22
4.2,15.2657,-92.2795,147.5,"11 km al SUROESTE de MOTOZINTLA, CHIS",2019-04-14,4:21:53
4.1,14.6828,-92.5295,74.4,"38 km al SUROESTE de TAPACHULA, CHIS",2019-04-14,6:45:50
4,16.2783,-98.1272,11.4,"11 km al SUROESTE de PINOTEPA NACIONAL, OAX",2019-04-14,8:29:19
4.9,17.3053,-95.386,120.3,"60 km al NOROESTE de MATIAS ROMERO, OAX",2019-04-14,16:48:18
4.3,14.6698,-92.3133,84,"17 km al OESTE de CD HIDALGO, CHIS",2019-04-14,19:31:30
4.2,14.7517,-95.822,23.5,"117 km al SURESTE de CRUCECITA, OAX",2019-04-14,19:39:54
4.1,16.1247,-97.5272,6.1,"16 km al NOROESTE de RIO GRANDE, OAX",2019-04-14,22:11:51
4.2,13.3592,-92.0603,14.1,"146 km al SUR de CD HIDALGO, CHIS",2019-04-15,2:47:37
4,15.791,-95.471,25,"52 km al SUROESTE de SALINA CRUZ, OAX",2019-04-15,14:20:18
4,16.6385,-98.8892,8.8,"52 km al OESTE de OMETEPEC, GRO",2019-04-15,21:50:30
4.3,16.2248,-98.1538,8.7,"17 km al SUROESTE de PINOTEPA NACIONAL, OAX",2019-04-16,2:20:04
4.1,16.2713,-98.1307,11.5,"11 km al SUROESTE de PINOTEPA NACIONAL, OAX",2019-04-16,2:34:57
4.1,14.768,-93.6968,17.6,"114 km al SUROESTE de MAPASTEPEC, CHIS",2019-04-16,4:46:13
4,16.81,-94.0893,134.2,"41 km al NOROESTE de CINTALAPA, CHIS",2019-04-16,13:29:06
4,14.7535,-92.4047,89.7,"23 km al SUROESTE de TAPACHULA, CHIS",2019-04-16,17:38:19
4.2,16.1848,-96.2373,53,"41 km al SURESTE de MIAHUATLAN, OAX",2019-04-16,20:55:26
4.2,15.2717,-94.852,22.9,"107 km al SURESTE de SALINA CRUZ, OAX",2019-04-16,23:23:40
4.1,14.0187,-92.5163,11.3,"83 km al SUROESTE de CD HIDALGO, CHIS",2019-04-17,2:18:19
4.2,17.2513,-94.2452,163.2,"75 km al SUR de LAS CHOAPAS, VER",2019-04-17,5:47:28
4,15.3932,-94.9405,16.4,"91 km al SURESTE de SALINA CRUZ, OAX",2019-04-17,9:02:57
4.1,15.3508,-95.0063,17.7,"94 km al SUR de SALINA CRUZ, OAX",2019-04-17,14:57:06
4.2,14.7178,-92.4078,86.4,"26 km al SUROESTE de TAPACHULA, CHIS",2019-04-17,17:02:27
4.1,17.0475,-95.4675,103.9,"49 km al NOROESTE de MATIAS ROMERO, OAX",2019-04-17,19:08:58
4,15.1952,-93.6413,51.9,"71 km al SUROESTE de PIJIJIAPAN, CHIS",2019-04-18,0:10:39
4,16.6395,-94.6567,57.5,"26 km al NORESTE de UNION HIDALGO, OAX",2019-04-18,0:52:48
4,15.998,-95.2217,26,"21 km al SUR de SALINA CRUZ, OAX",2019-04-18,6:06:53
4,14.6797,-94.2005,5,"154 km al SUROESTE de PIJIJIAPAN, CHIS",2019-04-18,8:51:33
4,28.001,-112.101,8,"75 km al NORTE de SANTA ROSALIA, BCS",2019-04-19,4:33:29
4,14.2558,-93.4798,13.6,"146 km al SUROESTE de MAPASTEPEC, CHIS",2019-04-19,5:40:54
4,16.8222,-98.8335,41.1,"48 km al NOROESTE de OMETEPEC, GRO",2019-04-19,7:55:36
4.4,14.6688,-92.4847,74,"36 km al SUROESTE de TAPACHULA, CHIS",2019-04-19,11:43:11
4.1,18.1373,-103.535,6.6,"81 km al SUROESTE de COALCOMAN, MICH",2019-04-19,16:40:29
5.1,13.897,-92.4822,14.3,"94 km al SUROESTE de CD HIDALGO, CHIS",2019-04-19,19:42:59
4.1,16.9393,-100.297,18.6,"24 km al SUROESTE de COYUCA DE BENITEZ, GRO",2019-04-19,21:27:05
4,15.5277,-95.0838,17.3,"73 km al SUR de SALINA CRUZ, OAX",2019-04-20,0:22:39
4,18.214,-102.656,57.4,"40 km al NOROESTE de LA MIRA, MICH",2019-04-20,3:08:58
4.2,15.8582,-96.8582,38.7,"22 km al ESTE de PUERTO ESCONDIDO, OAX",2019-04-20,4:55:05
4.9,31.2502,-115.572,20.5,"70 km al NORESTE de VICENTE GUERRERO, BC",2019-04-20,14:41:51
4,16.7505,-95.0125,5,"14 km al SUR de MATIAS ROMERO, OAX",2019-04-20,15:03:09
4.2,15.9828,-95.1628,65.6,"22 km al SUR de SALINA CRUZ, OAX",2019-04-21,2:03:27
4,15.7243,-95.5403,16.8,"63 km al SUROESTE de SALINA CRUZ, OAX",2019-04-21,2:08:55
4,16.1112,-97.5083,9.3,"14 km al NOROESTE de RIO GRANDE, OAX",2019-04-21,3:21:25
4,15.0125,-93.8175,17.6,"99 km al SUROESTE de PIJIJIAPAN, CHIS",2019-04-21,8:44:54
4,15.1795,-94.5393,16.8,"131 km al SUROESTE de TONALA, CHIS",2019-04-21,8:53:36
4.5,16.16,-98.8948,16.6,"78 km al SUROESTE de OMETEPEC, GRO",2019-04-21,13:08:23
4,16.025,-93.0273,161.5,"34 km al SURESTE de VILLAFLORES, CHIS",2019-04-21,20:47:59
4.2,17.857,-101.001,63.3,"46 km al NORESTE de PETATLAN, GRO",2019-04-22,7:24:40
4,17.9107,-101.998,40.6,"23 km al ESTE de CD LAZARO CARDENAS, MICH",2019-04-22,8:48:09
4.2,14.4123,-93.7292,4.3,"145 km al SUROESTE de MAPASTEPEC, CHIS",2019-04-22,9:17:06
4.7,15.8667,-96.2085,45.9,"13 km al NOROESTE de CRUCECITA, OAX",2019-04-22,10:19:49
4.1,14.4232,-93.7142,21.3,"143 km al SUROESTE de MAPASTEPEC, CHIS",2019-04-22,10:37:37
4.2,13.9223,-92.0492,8.1,"84 km al SUR de CD HIDALGO, CHIS",2019-04-22,11:04:53
4.1,16.3268,-98.2847,11.7,"25 km al OESTE de PINOTEPA NACIONAL, OAX",2019-04-22,14:21:09
4.1,14.4788,-93.7027,17,"138 km al SUROESTE de MAPASTEPEC, CHIS",2019-04-22,15:00:05
4,15.939,-98.7275,16.6,"85 km al SUROESTE de PINOTEPA NACIONAL, OAX",2019-04-22,16:02:33
4.1,15.8628,-98.7627,17,"93 km al SUROESTE de PINOTEPA NACIONAL, OAX",2019-04-22,16:29:46
4.1,15.7787,-98.7755,16.1,"99 km al SUROESTE de PINOTEPA NACIONAL, OAX",2019-04-22,16:35:00
4,15.9477,-98.729,17.2,"84 km al SUROESTE de PINOTEPA NACIONAL, OAX",2019-04-22,16:56:58
4.3,15.947,-98.7285,18,"84 km al SUROESTE de PINOTEPA NACIONAL, OAX",2019-04-22,17:56:50
4.5,15.9448,-98.708,16.3,"83 km al SUROESTE de PINOTEPA NACIONAL, OAX",2019-04-22,18:00:02
5.5,15.958,-98.6733,15.8,"79 km al SUROESTE de PINOTEPA NACIONAL, OAX",2019-04-22,20:15:23
4.6,16.0465,-98.6788,16.6,"74 km al SUROESTE de PINOTEPA NACIONAL, OAX",2019-04-22,20:45:25
4,16.0718,-98.6603,16.9,"71 km al SUROESTE de PINOTEPA NACIONAL, OAX",2019-04-22,21:46:42
4,15.9642,-98.6733,14.1,"78 km al SUROESTE de PINOTEPA NACIONAL, OAX",2019-04-22,21:49:03
4,15.8542,-94.5223,50.9,"76 km al SURESTE de UNION HIDALGO, OAX",2019-04-22,22:04:32
4.1,15.9818,-98.7312,21,"83 km al SUROESTE de PINOTEPA NACIONAL, OAX",2019-04-22,23:22:39
4,15.7868,-94.94,26,"52 km al SURESTE de SALINA CRUZ, OAX",2019-04-23,3:08:33
4.2,14.3265,-93.8288,14.6,"159 km al SUROESTE de MAPASTEPEC, CHIS",2019-04-23,4:18:56
4.1,14.3182,-93.8183,12,"159 km al SUROESTE de MAPASTEPEC, CHIS",2019-04-23,4:21:03
4.1,14.301,-93.9205,12.5,"168 km al SUROESTE de MAPASTEPEC, CHIS",2019-04-23,5:26:56
4,15.9578,-98.6905,16.2,"80 km al SUROESTE de PINOTEPA NACIONAL, OAX",2019-04-23,5:30:42
4.1,14.3465,-93.8942,16.3,"162 km al SUROESTE de MAPASTEPEC, CHIS",2019-04-23,5:45:33
4.1,16.0185,-98.703,16.2,"78 km al SUROESTE de PINOTEPA NACIONAL, OAX",2019-04-23,5:46:03
4.2,16.1465,-95.2823,67.9,"10 km al SUROESTE de SALINA CRUZ, OAX",2019-04-23,6:10:00
4,16.3445,-98.514,5.3,"39 km al SUROESTE de OMETEPEC, GRO",2019-04-23,6:32:19
4.1,14.371,-92.9975,16.1,"97 km al SUROESTE de CD HIDALGO, CHIS",2019-04-23,7:28:22
4.2,18.2218,-102.535,10,"30 km al NOROESTE de LA MIRA, MICH",2019-04-23,7:57:24
4,15.5163,-93.559,83.8,"42 km al SUROESTE de PIJIJIAPAN, CHIS",2019-04-23,8:22:20
4,15.9922,-98.6813,15.9,"78 km al SUROESTE de PINOTEPA NACIONAL, OAX",2019-04-23,8:48:18
4.1,15.8695,-98.7667,16.7,"93 km al SUROESTE de PINOTEPA NACIONAL, OAX",2019-04-23,21:56:29
4.1,16.3342,-98.2443,12.5,"21 km al OESTE de PINOTEPA NACIONAL, OAX",2019-04-23,22:18:59
4,16.9428,-93.9733,151.9,"38 km al NOROESTE de CINTALAPA, CHIS",2019-04-24,0:04:38
4.3,16.583,-98.447,5.7,"12 km al SUROESTE de OMETEPEC, GRO",2019-04-24,2:48:29
4.2,16.504,-99.2628,6.6,"35 km al SURESTE de SAN MARCOS, GRO",2019-04-24,3:21:01
4.2,15.9262,-98.6672,13.2,"80 km al SUROESTE de PINOTEPA NACIONAL, OAX",2019-04-24,3:37:16
4.1,15.9392,-98.6297,5,"76 km al SUROESTE de PINOTEPA NACIONAL, OAX",2019-04-24,5:23:18
4.1,14.6755,-93.7682,27.8,"127 km al SUROESTE de MAPASTEPEC, CHIS",2019-04-24,7:56:35
4,15.7013,-94.8022,36,"68 km al SURESTE de SALINA CRUZ, OAX",2019-04-24,10:10:35
4,17.1783,-94.6825,140.5,"51 km al NORESTE de MATIAS ROMERO, OAX",2019-04-24,12:04:23
4,19.6623,-100.927,10,"24 km al SUROESTE de ZINAPECUARO, MICH",2019-04-24,13:34:25
4,18.4465,-103.319,53.3,"40 km al SUROESTE de COALCOMAN, MICH",2019-04-24,13:59:16
4.5,18.0155,-101.365,58,"46 km al NORESTE de ZIHUATANEJO, GRO",2019-04-24,16:18:43
4,14.826,-93.6712,11.3,"107 km al SUROESTE de PIJIJIAPAN, CHIS",2019-04-24,20:38:18
4,15.905,-98.7437,14.7,"88 km al SUROESTE de PINOTEPA NACIONAL, OAX",2019-04-24,22:38:35
4,14.625,-92.3057,79.4,"18 km al SUROESTE de CD HIDALGO, CHIS",2019-04-25,2:29:57
4.1,16.1888,-97.5892,13.6,"26 km al NOROESTE de RIO GRANDE, OAX",2019-04-25,6:33:46
4.3,15.881,-98.7065,9.5,"87 km al SUROESTE de PINOTEPA NACIONAL, OAX",2019-04-25,7:32:40
4,15.6547,-95.233,14.3,"58 km al SUR de SALINA CRUZ, OAX",2019-04-25,17:45:47
